Month,AverageRent
1,1425.0
2,1470.0
3,1475.0
4,1475.0
5,1475.0
6,1513.0
7,1525.0
8,1538.0
9,1550.0
10,1550.0
11,1550.0
12,1550.0
13,1550.0
14,1550.0
15,1550.0
16,1575.0
17,1585.0
18,1595.0
19,1598.0
20,1600.0
21,1610.0
22,1645.0
23,1649.0
24,1649.0
25,1650.0
26,1650.0
27,1650.0
28,1673.0
29,1675.0
30,1675.0
31,1675.0
32,1675.0
33,1675.0
34,1693.0
35,1695.0
36,1697.0
37,1698.0
38,1699.0
39,1700.0
40,1700.0
41,1700.0
42,1700.0
43,1700.0
44,1700.0
45,1700.0
46,1720.0
47,1723.0
48,1725.0
49,1725.0
50,1725.0
51,1725.0
52,1725.0
53,1725.0
54,1725.0
55,1725.0
56,1735.0
57,1736.0
58,1738.0
59,1742.0
60,1743.0
61,1748.0
62,1749.0
63,1749.0
64,1750.0
65,1750.0
66,1750.0
67,1750.0
68,1750.0
69,1750.0
70,1750.0
71,1750.0
72,1750.0
73,1750.0
74,1750.0
75,1750.0
76,1750.0
77,1750.0
78,1750.0
79,1750.0
80,1750.0
81,1750.0
82,1750.0
83,1750.0
84,1750.0
85,1763.0
86,1763.0
87,1763.0
88,1765.0
89,1769.0
90,1774.0
91,1775.0
92,1785.0
93,1787.0
94,1788.0
95,1790.0
96,1795.0
97,1795.0
98,1795.0
99,1795.0
100,1795.0
101,1795.0
102,1798.0
103,1799.0
104,1799.0
105,1799.0
106,1800.0
107,1800.0
108,1800.0
109,1800.0
110,1800.0
111,1800.0
112,1800.0
113,1800.0
114,1800.0
115,1800.0
116,1800.0
117,1800.0
118,1800.0
119,1800.0
120,1800.0
121,1800.0
122,1813.0
123,1813.0
124,1815.0
125,1815.0
126,1820.0
127,1825.0
128,1825.0
129,1825.0
130,1825.0
131,1825.0
132,1830.0
133,1833.0
134,1838.0
135,1838.0
136,1840.0
137,1849.0
138,1850.0
139,1850.0
140,1850.0
141,1850.0
142,1850.0
143,1850.0
144,1850.0
145,1850.0
146,1850.0
147,1850.0
148,1850.0
149,1850.0
150,1850.0
151,1850.0
152,1850.0
153,1850.0
154,1850.0
155,1850.0
156,1850.0
157,1853.0
158,1865.0
159,1870.0
160,1875.0
161,1875.0
162,1875.0
163,1875.0
164,1875.0
165,1875.0
166,1875.0
167,1875.0
168,1875.0
169,1875.0
170,1875.0
171,1875.0
172,1875.0
173,1879.0
174,1879.0
175,1880.0
176,1885.0
177,1890.0
178,1890.0
179,1893.0
180,1895.0
181,1895.0
182,1895.0
183,1895.0
184,1898.0
185,1899.0
186,1900.0
187,1900.0
188,1900.0
189,1900.0
190,1900.0
191,1900.0
192,1900.0
193,1900.0
194,1900.0
195,1900.0
196,1900.0
197,1900.0
198,1900.0
199,1900.0
200,1900.0
201,1900.0
202,1900.0
203,1900.0
204,1905.0
205,1913.0
206,1913.0
207,1913.0
208,1925.0
209,1925.0
210,1925.0
211,1925.0
212,1938.0
213,1940.0
214,1945.0
215,1946.0
216,1950.0
217,1950.0
218,1950.0
219,1950.0
220,1950.0
221,1950.0
222,1950.0
223,1950.0
224,1950.0
225,1950.0
226,1950.0
227,1950.0
228,1950.0
229,1950.0
230,1950.0
231,1950.0
232,1950.0
233,1950.0
234,1950.0
235,1950.0
236,1955.0
237,1958.0
238,1960.0
239,1963.0
240,1963.0
241,1963.0
242,1973.0
243,1975.0
244,1975.0
245,1975.0
246,1975.0
247,1975.0
248,1975.0
249,1975.0
250,1975.0
251,1983.0
252,1983.0
253,1990.0
254,1990.0
255,1995.0
256,1995.0
257,1995.0
258,1995.0
259,1995.0
260,1995.0
261,1995.0
262,1995.0
263,1995.0
264,1995.0
265,1995.0
266,1995.0
267,1997.0
268,1998.0
269,1998.0
270,1999.0
271,1999.0
272,2000.0
273,2000.0
274,2000.0
275,2000.0
276,2000.0
277,2000.0
278,2000.0
279,2000.0
280,2000.0
281,2000.0
282,2000.0
283,2000.0
284,2000.0
285,2000.0
286,2000.0
287,2000.0
288,2000.0
289,2000.0
290,2000.0
291,2000.0
292,2000.0
293,2000.0
294,2000.0
295,2000.0
296,2000.0
297,2000.0
298,2000.0
299,2000.0
300,2000.0
301,2000.0
302,2000.0
303,2000.0
304,2000.0
305,2000.0
306,2000.0
307,2000.0
308,2000.0
309,2000.0
310,2000.0
311,2000.0
312,2000.0
313,2000.0
314,2000.0
315,2000.0
316,2000.0
317,2000.0
318,2000.0
319,2000.0
320,2023.0
321,2025.0
322,2025.0
323,2035.0
324,2038.0
325,2040.0
326,2050.0
327,2050.0
328,2050.0
329,2050.0
330,2050.0
331,2050.0
332,2050.0
333,2063.0
334,2063.0
335,2075.0
336,2075.0
337,2076.0
338,2085.0
339,2086.0
340,2088.0
341,2095.0
342,2095.0
343,2095.0
344,2095.0
345,2097.0
346,2099.0
347,2099.0
348,2099.0
349,2099.0
350,2099.0
351,2099.0
352,2100.0
353,2100.0
354,2100.0
355,2100.0
356,2100.0
357,2100.0
358,2100.0
359,2100.0
360,2100.0
361,2100.0
362,2100.0
363,2100.0
364,2100.0
365,2100.0
366,2100.0
367,2100.0
368,2100.0
369,2100.0
370,2104.0
371,2107.0
372,2115.0
373,2118.0
374,2122.0
375,2125.0
376,2125.0
377,2125.0
378,2125.0
379,2142.0
380,2145.0
381,2148.0
382,2150.0
383,2150.0
384,2150.0
385,2150.0
386,2150.0
387,2150.0
388,2150.0
389,2150.0
390,2150.0
391,2150.0
392,2150.0
393,2150.0
394,2150.0
395,2150.0
396,2150.0
397,2150.0
398,2150.0
399,2154.0
400,2154.0
401,2155.0
402,2160.0
403,2168.0
404,2170.0
405,2170.0
406,2175.0
407,2175.0
408,2180.0
409,2192.0
410,2195.0
411,2195.0
412,2198.0
413,2199.0
414,2199.0
415,2199.0
416,2199.0
417,2200.0
418,2200.0
419,2200.0
420,2200.0
421,2200.0
422,2200.0
423,2200.0
424,2200.0
425,2200.0
426,2200.0
427,2200.0
428,2200.0
429,2200.0
430,2200.0
431,2200.0
432,2200.0
433,2200.0
434,2200.0
435,2200.0
436,2200.0
437,2200.0
438,2200.0
439,2200.0
440,2200.0
441,2222.0
442,2225.0
443,2225.0
444,2225.0
445,2225.0
446,2225.0
447,2225.0
448,2235.0
449,2238.0
450,2240.0
451,2248.0
452,2250.0
453,2250.0
454,2250.0
455,2250.0
456,2250.0
457,2250.0
458,2250.0
459,2250.0
460,2250.0
461,2250.0
462,2250.0
463,2250.0
464,2250.0
465,2250.0
466,2250.0
467,2250.0
468,2250.0
469,2250.0
