Neighborhood,Median Income,Mean Income,Median Margin of Error,Mean Margin of Error,Median Rent Price,30% Income Rent,30% Income Rent Margin of Error,Actual Rent vs. 30% Income Rent
Astoria,88433.4,114757.0,±6407.207191905066,±11683.555058285985,2291.2622950819673,2210.835,±160.18017979762664,80.42729508196726
Bath Beach,67838.0,97058.0,±5233.264086590701,±5123.0316219988335,1799.6666666666667,1695.95,±130.8316021647675,103.7166666666667
Battery Park City,178148.0,259093.0,±35936.0,±32353.0,4654.0327868852455,4453.7,±898.4,200.3327868852457
Bay Ridge,70595.5,97321.5,±4035.7799741809513,±4144.763262238267,1967.5245901639344,1764.8874999999998,±100.89449935452377,202.63709016393454
Bayside,92518.33333333333,116340.33333333333,±9339.24327769654,±6994.280830316533,2193.655737704918,2312.958333333333,±233.48108194241348,-119.30259562841502
Bedford Park,39453.0,52626.0,±2891.032773940828,±3154.051362929906,1712.1724137931035,986.3249999999999,±72.2758193485207,725.8474137931036
Bedford-Stuyvesant,64316.8,95773.8,±4354.778938132222,±5699.2535476148105,2641.622950819672,1607.92,±108.86947345330555,1033.702950819672
Belmont,36112.666666666664,51972.666666666664,±3405.041898910105,±3577.1504953896847,2111.6065573770493,902.8166666666666,±85.12604747275262,1208.7898907103827
Bensonhurst,58668.5,81316.0,±3943.047679143634,±3564.4792747328465,1860.5737704918033,1466.7125,±98.57619197859084,393.8612704918032
Boerum Hill,133269,195414,±12241,±12648,3349.5081967213114,3331.725,±306.025,17.78319672131147
Borough Park,60550.75,87777.75,±4054.7351639780372,±10554.250269441218,1898.5573770491803,1513.76875,±101.36837909945093,384.7886270491804
Briarwood,71346,92957,±2800,±4714,1792.360655737705,1783.6499999999999,±70.0,8.71065573770511
Brighton Beach,58669,87716,±3780,±3683,2106.098360655738,1466.725,±94.5,639.373360655738
Bronxwood,42639,58443,±2072,±2780,1724.8035714285713,1751.016393442623,1065.975,±51.8,658.8285714285714,1065.975,±51.8,658.8285714285714
Brooklyn Heights,148282,213208,±7688,±11356,3512.9180327868853,4775.770491803279,3707.05,±192.2,-194.13196721311488,3707.05,±192.2,-194.13196721311488
Brownsville,41556.5,62648.5,±2760.688048295207,±3243.3828790323228,2031.8032786885246,1038.9125,±69.01720120738017,992.8907786885247
Bushwick,56865.0,79736.0,±5674.474491087259,±4306.797737298561,2763.6721311475408,1421.625,±141.86186227718147,1342.0471311475408
Canarsie,73562,91504,±2963,±2730,2199.1475409836066,1839.05,±74.07499999999999,360.0975409836067
Carroll Gardens,121638,184570,±6696,±18048,3375.377049180328,2767.2950819672133,3040.95,±167.4,334.42704918032814,3040.95,±167.4,334.42704918032814
Central Harlem,53050.6,87144.2,±6556.004804757239,±7710.126393257117,2579.5409836065573,1326.2649999999999,±163.90012011893097,1253.2759836065575
Central Park South,105538,179458,±13099,±16485,7849.573770491803,2638.4500000000003,±327.47499999999997,5211.123770491802
Chelsea,120376.0,195081.5,±13219.682295728593,±16106.689992049887,4319.491803278688,3009.4,±330.4920573932148,1310.091803278688
Chinatown,87332.5,205625.0,±15050.122989530684,±47968.171499443255,2828.2131147540986,2183.3125,±376.2530747382671,644.9006147540986
Clinton Hill,91517.0,132660.0,±6470.788591817847,±7814.048438549636,3108.2622950819673,2287.925,±161.76971479544616,820.3372950819671
Cobble Hill,134960.0,198889.0,±7209.083159459322,±15077.94813626841,3499.8524590163934,3373.9999999999995,±180.22707898648306,125.85245901639382
Columbia St Waterfront District,134960.0,198889.0,±7209.083159459322,±15077.94813626841,2993.934426229508,3373.9999999999995,±180.22707898648306,-380.0655737704915
Concourse,33911.0,49489.5,±3471.071880557935,±3648.074560641545,1830.5901639344263,847.775,±86.77679701394837,982.8151639344263
Coney Island,37241,64289,±3595,±5374,2307.6393442622953,931.0249999999999,±89.87499999999999,1376.6143442622954
Corona,62254,79303,±3426,±4711,2077.7868852459014,1556.35,±85.64999999999999,521.4368852459015
Crown Heights,73781.2,104033.8,±5593.4498478130645,±5922.479598951777,2595.1803278688526,1844.53,±139.8362461953266,750.6503278688526
DUMBO,148282,213208,±7688,±11356,3512.9180327868853,4775.770491803279,3707.05,±192.2,-194.13196721311488,3707.05,±192.2,-194.13196721311488
Ditmas Park,66173,88051,±1913,±3185,2203.8360655737706,2325.0,1654.325,±47.824999999999996,549.5110655737706,1654.325,±47.824999999999996,549.5110655737706
Downtown Brooklyn,140775.5,204311.0,±10221.238305606616,±12019.37269577743,3605.9836065573772,3519.3875,±255.53095764016538,86.59610655737742
Dyker Heights,77189,110604,±6741,±6109,2121.0491803278687,1929.725,±168.525,191.32418032786882
East Flatbush,61414,80141,±3077,±3644,2253.098360655738,1535.35,±76.925,717.748360655738
East Harlem,33228.0,68755.5,±5131.533347840585,±6586.254056745762,2398.311475409836,830.6999999999999,±128.2883336960146,1567.6114754098362
East New York,43010.333333333336,62020.0,±3707.3794428589763,±6803.801633400746,2222.344262295082,1075.2583333333334,±92.68448607147441,1147.0859289617486
East Village,107542.0,172527.5,±9329.206423914095,±16205.599834625067,3427.1147540983607,2688.55,±233.23016059785235,738.5647540983605
Elmhurst,62072,78958,±2983,±3521,1983.6065573770493,1551.8,±74.575,431.80655737704933
Financial District,178416.25,228509.25,±19217.360842477825,±40378.39275838007,3863.72131147541,4460.40625,±480.4340210619456,-596.68493852459
Flatbush,66173,88051,±1913,±3185,2203.8360655737706,2325.0,1654.325,±47.824999999999996,549.5110655737706,1654.325,±47.824999999999996,549.5110655737706
Flatiron,131635,217670,±18605,±20488,4999.295081967213,3290.875,±465.125,1708.4200819672133
Flushing,58030.0,81778.33333333333,±4984.474194937717,±5755.114652782051,1994.950819672131,1450.7499999999998,±124.61185487344292,544.2008196721313
Fordham,37958.0,51704.25,±3301.079293200937,±3321.2799114196923,1770.688524590164,948.9499999999999,±82.52698233002342,821.738524590164
Forest Hills,96321,132536,±5116,±10589,2143.311475409836,2408.025,±127.89999999999999,-264.71352459016407
Fort Greene,116146.25,168485.5,±8554.087254055807,±10137.175962762016,3247.967213114754,2903.6562499999995,±213.85218135139516,344.3109631147545
Glendale,77350,94274,±3382,±3647,2192.5737704918033,2594.934426229508,1933.7499999999998,±84.55,258.82377049180354,1933.7499999999998,±84.55,258.82377049180354
Gowanus,156930,214768,±8212,±9691,3156.901639344262,3923.25,±205.3,-766.3483606557379
Gramercy Park,134584.0,220217.5,±14961.483114985625,±20641.56704322615,3840.8852459016393,3364.6,±374.0370778746406,476.2852459016394
Gravesend,57281,88967,±5244,±4919,1906.5081967213114,1432.025,±131.1,474.4831967213113
Greenpoint,110385,136729,±7390,±6413,3274.7377049180327,2759.625,±184.75,515.1127049180327
