Borough, Zip1, Zip2, Zip3, Zip4, Zip5, Zip6, Zip7, Zip8, Zip9, Zip10, Zip11
Midtown,10001,10016.0,10017.0,10018.0,10019.0,10022.0,10036.0,10003.0,10009.0,10010.0,10011.0
Astoria,11101,11102.0,11103.0,11105.0,11106.0,,,,,,
Bath Beach,11214,11228.0,,,,,,,,,
Battery Park City,10280,10282.0,,,,,,,,,
Bay Ridge,11209,11220.0,,,,,,,,,
Bayside,11360,11361.0,11364.0,,,,,,,,
Bedford Park,10458,10468.0,,,,,,,,,
Bedford-Stuyvesant,11205,11206.0,11216.0,11221.0,11233.0,,,,,,
Belmont,10457,10458.0,10460.0,,,,,,,,
Bensonhurst,11204,11214.0,,,,,,,,,
Boerum Hill,11217,,,,,,,,,,
Borough Park,11204,11218.0,11219.0,11220.0,,,,,,,
Briarwood,11435,,,,,,,,,,
Brighton Beach,11235,,,,,,,,,,
Bronxwood,10467,,,,,,,,,,
Brooklyn Heights,11201,,,,,,,,,,
Brownsville,11212,11233.0,,,,,,,,,
Bushwick,11206,11207.0,11221.0,11237.0,,,,,,,
Canarsie,11236,,,,,,,,,,
Carroll Gardens,11231,,,,,,,,,,
Central Harlem,10026,10027.0,10030.0,10037.0,10039.0,,,,,,
Central Park South,10019,,,,,,,,,,
Chelsea,10001,10011.0,,,,,,,,,
Chinatown,10002,10013.0,,,,,,,,,
Clinton Hill,11238,11205.0,,,,,,,,,
Cobble Hill,11201,11231.0,,,,,,,,,
Columbia St Waterfront District,11201,11231.0,,,,,,,,,
Concourse,10451,10452.0,,,,,,,,,
Coney Island,11224,,,,,,,,,,
Corona,11368,,,,,,,,,,
Crown Heights,11213,11216.0,11225.0,11233.0,11238.0,,,,,,
DUMBO,11201,,,,,,,,,,
Ditmas Park,11226,,,,,,,,,,
Downtown Brooklyn,11201,11217.0,,,,,,,,,
Dyker Heights,11228,,,,,,,,,,
East Flatbush,11203,,,,,,,,,,
East Harlem,10029,10035.0,,,,,,,,,
East New York,11207,11208.0,11239.0,,,,,,,,
East Village,10003,10009.0,,,,,,,,,
Elmhurst,11373,,,,,,,,,,
Financial District,10004,10005.0,10006.0,10007.0,10038.0,,,,,,
Flatbush,11226,,,,,,,,,,
Flatiron,10010,,,,,,,,,,
Flushing,11354,11355.0,11358.0,,,,,,,,
Fordham,10453,10457.0,10458.0,10468.0,,,,,,,
Forest Hills,11375,,,,,,,,,,
Fort Greene,11201,11205.0,11217.0,11238.0,,,,,,,
Glendale,11385,,,,,,,,,,
Gowanus,11215,,,,,,,,,,
Gramercy Park,10003,10010.0,,,,,,,,,
Gravesend,11223,,,,,,,,,,
Greenpoint,11222,,,,,,,,,,
Greenwich Village,10003,10011.0,10012.0,10014.0,,,,,,,
Greenwood,11232,,,,,,,,,,
Hamilton Heights,10031,10032.0,10039.0,,,,,,,,
Highbridge,10452,,,,,,,,,,
Inwood,10034,10040.0,,,,,,,,,
Jackson Heights,11372,,,,,,,,,,
Jamaica,11432,11433.0,11434.0,11435.0,11436.0,,,,,,
Jamaica Estates,11432,,,,,,,,,,
Kensington,11218,,,,,,,,,,
Kew Gardens,11415,,,,,,,,,,
Kew Gardens Hills,11367,,,,,,,,,,
Kingsbridge,10463,,,,,,,,,,
Little Italy,10013,,,,,,,,,,
Long Island City,11101,,,,,,,,,,
Lower East Side,10002,,,,,,,,,,
Maspeth,11378,,,,,,,,,,
Middle Village,11379,,,,,,,,,,
Midtown East,10017,10022.0,,,,,,,,,
Midtown South,10016,10001.0,10036.0,10017.0,10018.0,,,,,,
Midtown West,10019,10036.0,,,,,,,,,
Midwood,11210,11230.0,,,,,,,,,
Morningside Heights,10025,10027.0,,,,,,,,,
Mott Haven,10451,10454.0,10455.0,,,,,,,,
Nolita,10002,,,,,,,,,,
Norwood,10467,,,,,,,,,,
Park Slope,11215,11217.0,,,,,,,,,
Prospect Heights,11217,11238.0,,,,,,,,,
Prospect Lefferts Gardens,11225,,,,,,,,,,
Prospect Park South,11218,11226.0,,,,,,,,,
Red Hook,11231,,,,,,,,,,
Rego Park,11374,,,,,,,,,,
Ridgewood,11385,,,,,,,,,,
Riverdale,10463,10471.0,,,,,,,,,
Rockaway All,11697,11694.0,11693.0,11692.0,11691.0,,,,,,
Roosevelt Island,10044,,,,,,,,,,
Sheepshead Bay,11229,11235.0,,,,,,,,,
Soho,10012,10013.0,,,,,,,,,
Soundview,10472,10473.0,,,,,,,,,
Stuyvesant Town/PCV,10009,10010.0,,,,,,,,,
Sunnyside,11101,11104.0,11377.0,,,,,,,,
Sunset Park,11220,11232.0,,,,,,,,,
Tremont,10453,10457.0,,,,,,,,,
Tribeca,10013,10007.0,,,,,,,,,
University Heights,10453,10468.0,,,,,,,,,
Upper East Side,10021,10028.0,10065.0,10075.0,10128.0,,,,,,
Upper West Side,10023,10024.0,10025.0,10069.0,,,,,,,
Washington Heights,10032,10033.0,10040.0,,,,,,,,
West Harlem,10027,10031.0,10030.0,10032.0,,,,,,,
West Village,10014,10011.0,,,,,,,,,
Williamsburg,11206,11211.0,11249.0,,,,,,,,
Windsor Terrace,11215,11218.0,,,,,,,,,
Woodhaven,11421,,,,,,,,,,
Woodside,11377,,,,,,,,,,
Woodstock,10455,10456.0,10459.0,,,,,,,,
Auburndale,11358,,,,,,,,,,
East Tremont,10457,10460,,,,,,,,,
Melrose,10451,10455,10456,,,,,,,,
Oakland Gardens,11364,,,,,,,,,,
Parkchester,10462,10460,10461,,,,,,,,
Pelham Bay,10461,,,,,,,,,,
Pelham Parkway,10461,10462,,,,,,,,,
Richmond Hill,11418,11419,,,,,,,,,
Throgs Neck,10465,,,,,,,,,,
Wakefield,10466,10470,,,,,,,,,
Whitestone,11357,,,,,,,,,,
Williamsbridge,10466,10467,10469,,,,,,,,
