,Borough,areaType,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12
Astoria,Queens,neighborhood,2200.0,2200.0,2200.0,2300.0,2300.0,2295.0,2300.0,2300.0,2200.0,2200.0,2200.0,2200.0,2200.0,2200.0,2300.0,2300.0,2300.0,2300.0,2300.0,2350.0,2334.0,2300.0,2275.0,2275.0,2250.0,2200.0,2200.0,2200.0,2200.0,2250.0,2300.0,2300.0,2250.0,2195.0,2200.0,2195.0,2150.0,2123.0,2100.0,2100.0,2200.0,2200.0,2248.0,2250.0,2250.0,2200.0,2175.0,2150.0,2199.0,2200.0,2200.0,2200.0,2273.0,2300.0,2350.0,2350.0,2350.0,2350.0,2300.0,2300.0,2333.0,2395.0,2300.0,2300.0,2280.0,2250.0,2200.0,2169.0,2100.0,2000.0,2000.0,1995.0,1950.0,1950.0,1925.0,1950.0,1999.0,2000.0,2100.0,2200.0,2200.0,2200.0,2200.0,2250.0,2266.0,2300.0,2350.0,2395.0,2500.0,2633.0,2650.0,2700.0,2795.0,2695.0,2600.0,2600.0
Auburndale,Queens,neighborhood,1995.0,,2300.0,2100.0,1995.0,1995.0,1950.0,1900.0,1995.0,1995.0,1695.0,,1798.0,1625.0,1795.0,1850.0,2100.0,2225.0,2100.0,2048.0,2048.0,2148.0,2100.0,,1995.0,2195.0,2195.0,2295.0,2095.0,2195.0,2048.0,1895.0,1995.0,1495.0,1795.0,2325.0,2300.0,2300.0,2300.0,2200.0,2095.0,2098.0,2095.0,2095.0,2048.0,1995.0,1995.0,1948.0,2045.0,2045.0,1995.0,1998.0,1998.0,1900.0,1650.0,2198.0,2100.0,2100.0,2177.0,1900.0,1895.0,2000.0,1998.0,,1998.0,1995.0,1823.0,2000.0,2095.0,2073.0,2000.0,2152.0,2212.0,2100.0,2195.0,2000.0,2000.0,2195.0,2125.0,,2615.0,2407.0,,,,,2500.0,2400.0,2500.0,2557.0,2514.0,2600.0,,2400.0,,
Bath Beach,Brooklyn,neighborhood,1725.0,1775.0,1775.0,2000.0,1850.0,1613.0,1700.0,1700.0,1750.0,2000.0,2000.0,1898.0,1745.0,1950.0,2025.0,2175.0,2250.0,2050.0,2098.0,2000.0,2200.0,2200.0,1900.0,1900.0,2100.0,1950.0,1850.0,1950.0,1950.0,2000.0,1975.0,1950.0,1850.0,1898.0,2000.0,1848.0,1875.0,1950.0,2000.0,2023.0,2000.0,1850.0,1700.0,1675.0,1675.0,1750.0,1725.0,1675.0,1700.0,1575.0,1695.0,1675.0,1695.0,1750.0,1799.0,1795.0,1795.0,1850.0,1795.0,1795.0,1795.0,1900.0,2025.0,,1875.0,1800.0,1900.0,2075.0,1795.0,1700.0,1785.0,1695.0,1698.0,1750.0,1799.0,1750.0,1733.0,1799.0,1700.0,1750.0,1699.0,1699.0,1750.0,1750.0,1750.0,1675.0,1850.0,1850.0,1850.0,1795.0,1800.0,1860.0,2075.0,1994.0,1725.0,1700.0
Battery Park City,Manhattan,neighborhood,3800.0,3950.0,4025.0,4150.0,4518.0,4630.0,4700.0,4795.0,4750.0,4750.0,5100.0,4750.0,4611.0,4600.0,4595.0,4825.0,4600.0,4675.0,4650.0,4765.0,4750.0,4250.0,4050.0,4025.0,4175.0,3995.0,3910.0,3995.0,4350.0,4393.0,4515.0,4375.0,4485.0,4685.0,3860.0,3948.0,4175.0,4100.0,4045.0,4278.0,4650.0,4523.0,4653.0,4858.0,4995.0,4858.0,4500.0,4428.0,4365.0,4495.0,4300.0,4450.0,4950.0,5165.0,5236.0,4750.0,4667.0,4923.0,5271.0,4995.0,4416.0,4172.0,4190.0,4200.0,4500.0,4490.0,4216.0,4206.0,4127.0,3950.0,3750.0,3800.0,3750.0,3900.0,3995.0,3995.0,3898.0,4100.0,4300.0,4475.0,4350.0,4250.0,4441.0,5260.0,5044.0,5100.0,4685.0,4730.0,5080.0,5250.0,5613.0,5600.0,5300.0,5300.0,4995.0,5300.0
Bay Ridge,Brooklyn,neighborhood,1700.0,1700.0,1749.0,1800.0,1800.0,1800.0,1800.0,1850.0,1899.0,1850.0,1850.0,1885.0,1900.0,2000.0,2000.0,2000.0,2000.0,2100.0,2000.0,2100.0,2050.0,2100.0,2100.0,2100.0,2000.0,2000.0,1950.0,1975.0,2000.0,2000.0,2000.0,1895.0,1895.0,1900.0,1825.0,1850.0,2000.0,1995.0,1900.0,1963.0,1950.0,1975.0,1850.0,1999.0,2000.0,2000.0,1995.0,1900.0,1900.0,2000.0,2000.0,1995.0,1950.0,1900.0,1900.0,1950.0,1895.0,1900.0,2000.0,1950.0,1900.0,2000.0,2100.0,2066.0,1999.0,2000.0,2000.0,1950.0,1950.0,1850.0,1800.0,1775.0,1750.0,1750.0,1800.0,1750.0,1750.0,1750.0,1750.0,1800.0,1795.0,1775.0,1800.0,1775.0,1850.0,1900.0,1913.0,2000.0,2150.0,2275.0,2175.0,2350.0,2300.0,2200.0,2100.0,2200.0
Bayside,Queens,neighborhood,2200.0,2200.0,2250.0,2300.0,2300.0,2300.0,2300.0,2250.0,2300.0,2300.0,2400.0,2350.0,2400.0,2375.0,2400.0,2450.0,2350.0,2400.0,2375.0,2250.0,2400.0,2250.0,2250.0,2500.0,2500.0,2549.0,2500.0,2400.0,2400.0,2400.0,2400.0,2375.0,2450.0,2450.0,2375.0,2210.0,2500.0,2350.0,2300.0,2300.0,2300.0,2388.0,2400.0,2475.0,2350.0,2475.0,2350.0,2100.0,2150.0,2200.0,2150.0,2050.0,2000.0,2100.0,2000.0,2150.0,2200.0,2175.0,2125.0,2150.0,2100.0,1900.0,2000.0,1875.0,1975.0,2170.0,2125.0,2063.0,2000.0,1988.0,2000.0,2050.0,2000.0,1995.0,1863.0,1850.0,1850.0,2075.0,2063.0,2200.0,2200.0,2200.0,2100.0,2050.0,2100.0,2200.0,2225.0,2500.0,2300.0,2500.0,2395.0,2300.0,2300.0,2600.0,2500.0,2500.0
Bedford Park,Bronx,neighborhood,1363.0,1400.0,1400.0,1400.0,1300.0,1325.0,1350.0,1388.0,1499.0,1550.0,1450.0,1488.0,1450.0,1438.0,1425.0,1450.0,1450.0,1350.0,1471.0,1475.0,1500.0,1513.0,1483.0,1450.0,1400.0,1400.0,1500.0,1500.0,1550.0,1550.0,1550.0,1550.0,1550.0,1525.0,1583.0,1600.0,1495.0,1325.0,1550.0,1598.0,1470.0,1525.0,1550.0,1550.0,1425.0,1795.0,1600.0,1820.0,1833.0,1650.0,1650.0,1550.0,1605.0,1595.0,1600.0,1775.0,1786.0,1750.0,1750.0,1699.0,1699.0,2008.0,1625.0,,,,1648.0,1695.0,1700.0,1650.0,1688.0,1625.0,1725.0,1662.0,1850.0,1695.0,1625.0,1625.0,1638.0,1625.0,1902.0,1775.0,1616.0,1650.0,1700.0,1795.0,1895.0,1875.0,1773.0,1750.0,1776.0,2298.0,1795.0,1795.0,1700.0,1702.0
Bedford-Stuyvesant,Brooklyn,neighborhood,2275.0,2250.0,2300.0,2350.0,2375.0,2400.0,2400.0,2455.0,2400.0,2350.0,2350.0,2300.0,2350.0,2350.0,2350.0,2400.0,2450.0,2475.0,2497.0,2496.0,2453.0,2450.0,2400.0,2400.0,2400.0,2350.0,2345.0,2395.0,2400.0,2475.0,2475.0,2475.0,2450.0,2400.0,2400.0,2350.0,2350.0,2300.0,2395.0,2450.0,2500.0,2500.0,2567.0,2585.0,2550.0,2500.0,2485.0,2475.0,2429.0,2450.0,2500.0,2500.0,2550.0,2520.0,2599.0,2600.0,2600.0,2650.0,2620.0,2543.0,2580.0,2537.0,2537.0,2537.0,2550.0,2550.0,2500.0,2500.0,2400.0,2300.0,2300.0,2250.0,2250.0,2250.0,2262.0,2300.0,2383.0,2475.0,2599.0,2650.0,2700.0,2700.0,2750.0,2800.0,2894.0,2897.0,2850.0,2875.0,3000.0,3050.0,3200.0,3200.0,3150.0,3100.0,3000.0,2995.0
Belmont,Bronx,neighborhood,1450.0,1725.0,1500.0,1500.0,1500.0,1500.0,1499.0,1500.0,1763.0,1650.0,1750.0,1550.0,1600.0,1600.0,1400.0,1475.0,1435.0,1550.0,1625.0,1698.0,1700.0,1700.0,1650.0,1775.0,1660.0,1670.0,1700.0,1675.0,1690.0,1700.0,1725.0,1775.0,1800.0,1800.0,1725.0,1613.0,1625.0,1650.0,1613.0,1725.0,1850.0,1950.0,1879.0,1840.0,2100.0,2100.0,1813.0,1725.0,1998.0,2200.0,2225.0,1850.0,1938.0,1850.0,2050.0,2400.0,2200.0,2200.0,2200.0,1850.0,1800.0,1800.0,1688.0,1695.0,2500.0,2298.0,2295.0,2295.0,2100.0,2075.0,2125.0,2225.0,2200.0,2223.0,2100.0,2200.0,2215.0,2000.0,2025.0,2150.0,2000.0,2199.0,2300.0,1850.0,1600.0,1875.0,1792.0,2000.0,2625.0,2200.0,1940.0,2300.0,2250.0,2250.0,2500.0,2375.0
Bensonhurst,Brooklyn,neighborhood,1600.0,1725.0,1600.0,1700.0,1698.0,1650.0,1595.0,1625.0,1625.0,1600.0,1700.0,1750.0,1675.0,1700.0,1773.0,1748.0,1800.0,1850.0,1800.0,1900.0,2100.0,2025.0,1875.0,1725.0,2000.0,1848.0,1800.0,1800.0,1700.0,1775.0,1700.0,1875.0,1725.0,1738.0,1700.0,1750.0,1700.0,1750.0,1800.0,1800.0,1880.0,1865.0,1700.0,1850.0,1900.0,1850.0,1875.0,1900.0,1850.0,1850.0,1900.0,1813.0,1900.0,1795.0,1700.0,1700.0,1700.0,1750.0,1750.0,1850.0,1963.0,1995.0,1999.0,1787.0,1700.0,1750.0,1674.0,1800.0,1800.0,1700.0,1600.0,1537.0,1550.0,1649.0,1750.0,1650.0,1650.0,1700.0,1695.0,1700.0,1750.0,1750.0,1699.0,1795.0,1825.0,2000.0,1850.0,2150.0,2000.0,2000.0,2100.0,2199.0,1975.0,2000.0,2000.0,2375.0
