Label (Grouping),['Total', 'Less than $10000', '$10000 to $14999', '$15000 to $24999', '$25000 to $34999', '$35000 to $49999', '$50000 to $74999', '$75000 to $99999', '$100000 to $149999', '$150000 to $199999', '$200000 or more', 'Median income (dollars)', 'Mean income (dollars)', 'PERCENT ALLOCATED', 'Household income in the past 12 months', 'Family income in the past 12 months', 'Nonfamily income in the past 12 months']
10001 Households Estimate,['14273', '7.2%', '3.4%', '5.4%', '3.3%', '7.4%', '11.5%', '11.2%', '14.9%', '10.5%', '25.2%', '101409', '170154', '', '22.5%', '(X)', '(X)']
10001 Households Margin of Error,['±830', '±1.9', '±1.1', '±2.2', '±1.1', '±2.2', '±2.8', '±2.2', '±2.8', '±2.3', '±3.3', '±11816', '±17586', '', '(X)', '(X)', '(X)']
10001 Families Estimate,['4256', '7.3%', '0.0%', '4.5%', '3.3%', '7.5%', '9.8%', '7.8%', '12.1%', '7.9%', '39.8%', '142042', '258526', '', '(X)', '28.1%', '(X)']
10001 Families Margin of Error,['±524', '±3.8', '±0.9', '±3.9', '±2.2', '±5.2', '±4.7', '±3.1', '±5.2', '±4.0', '±7.4', '±23428', '±53596', '', '(X)', '(X)', '(X)']
10001 Married-couple families Estimate,['2932', '1.0%', '0.0%', '4.4%', '1.7%', '7.8%', '6.5%', '7.5%', '13.0%', '10.7%', '47.4%', '193302', 'N', '', '(X)', '(X)', '(X)']
10001 Married-couple families Margin of Error,['±498', '±1.2', '±1.3', '±4.7', '±2.3', '±5.9', '±4.7', '±3.5', '±6.4', '±5.0', '±9.2', '±56892', 'N', '', '(X)', '(X)', '(X)']
10001 Nonfamily households Estimate,['10017', '7.3%', '4.8%', '5.8%', '3.4%', '7.4%', '12.2%', '13.0%', '15.7%', '11.4%', '19.0%', '89723', '131592', '', '(X)', '(X)', '20.1%']
10001 Nonfamily households Margin of Error,['±822', '±1.9', '±1.5', '±2.7', '±1.3', '±2.4', '±3.8', '±2.9', '±3.2', '±2.9', '±3.3', '±9344', '±11695', '', '(X)', '(X)', '(X)']
10002 Households Estimate,['34737', '13.0%', '11.8%', '12.9%', '10.0%', '9.1%', '11.2%', '9.2%', '9.2%', '4.4%', '9.1%', '37093', '76115', '', '38.3%', '(X)', '(X)']
10002 Households Margin of Error,['±1319', '±2.0', '±2.3', '±2.1', '±2.3', '±1.6', '±1.7', '±1.6', '±1.4', '±0.9', '±1.0', '±3148', '±3723', '', '(X)', '(X)', '(X)']
10002 Families Estimate,['16914', '8.3%', '8.9%', '14.5%', '13.1%', '11.3%', '12.5%', '9.0%', '8.0%', '4.4%', '10.1%', '38815', '82382', '', '(X)', '41.9%', '(X)']
10002 Families Margin of Error,['±1029', '±1.9', '±3.9', '±2.9', '±4.2', '±2.6', '±2.2', '±1.8', '±1.9', '±1.4', '±1.7', '±4243', '±7013', '', '(X)', '(X)', '(X)']
10002 Married-couple families Estimate,['10194', '3.2%', '10.0%', '13.9%', '13.4%', '8.6%', '10.0%', '10.6%', '10.8%', '5.4%', '13.9%', '51689', '101513', '', '(X)', '(X)', '(X)']
10002 Married-couple families Margin of Error,['±859', '±1.5', '±5.9', '±4.5', '±6.3', '±2.8', '±2.6', '±2.3', '±2.8', '±2.1', '±2.6', '±11913', '±11164', '', '(X)', '(X)', '(X)']
10002 Nonfamily households Estimate,['17823', '18.2%', '14.5%', '11.1%', '7.4%', '6.9%', '10.0%', '9.4%', '10.1%', '4.3%', '8.0%', '32489', '69003', '', '(X)', '(X)', '34.8%']
10002 Nonfamily households Margin of Error,['±1118', '±3.3', '±2.8', '±2.8', '±1.9', '±1.9', '±2.3', '±2.3', '±2.0', '±1.1', '±1.7', '±5961', '±6056', '', '(X)', '(X)', '(X)']
10003 Households Estimate,['25181', '6.8%', '2.2%', '3.3%', '4.3%', '4.2%', '11.9%', '6.9%', '13.3%', '11.8%', '35.4%', '137533', '222765', '', '31.1%', '(X)', '(X)']
10003 Households Margin of Error,['±951', '±1.8', '±0.9', '±0.9', '±1.1', '±1.3', '±2.2', '±1.3', '±1.9', '±1.7', '±3.2', '±10077', '±20794', '', '(X)', '(X)', '(X)']
10003 Families Estimate,['6855', '2.5%', '0.7%', '1.0%', '2.3%', '2.6%', '4.1%', '5.2%', '11.4%', '15.0%', '55.3%', '219957', '346563', '', '(X)', '38.0%', '(X)']
10003 Families Margin of Error,['±575', '±1.6', '±0.8', '±0.8', '±2.1', '±1.7', '±2.6', '±1.9', '±3.4', '±3.6', '±5.1', '±23940', '±46424', '', '(X)', '(X)', '(X)']
10003 Married-couple families Estimate,['5932', '0.6%', '0.0%', '1.1%', '2.7%', '2.5%', '3.6%', '5.4%', '10.4%', '15.4%', '58.4%', '240365', 'N', '', '(X)', '(X)', '(X)']
10003 Married-couple families Margin of Error,['±536', '±0.7', '±0.6', '±1.0', '±2.5', '±1.8', '±2.8', '±2.1', '±3.6', '±4.0', '±4.9', '±23664', 'N', '', '(X)', '(X)', '(X)']
10003 Nonfamily households Estimate,['18326', '8.4%', '2.8%', '4.2%', '4.9%', '4.8%', '14.7%', '7.6%', '14.2%', '10.7%', '27.7%', '105808', '175535', '', '(X)', '(X)', '28.5%']
10003 Nonfamily households Margin of Error,['±929', '±2.4', '±1.2', '±1.2', '±1.3', '±1.7', '±3.0', '±1.7', '±2.4', '±1.8', '±4.2', '±11134', '±25914', '', '(X)', '(X)', '(X)']
10004 Households Estimate,['2113', '2.2%', '0.0%', '0.9%', '1.6%', '0.4%', '2.0%', '6.1%', '13.5%', '14.8%', '58.5%', '216017', '317203', '', '38.1%', '(X)', '(X)']
10004 Households Margin of Error,['±340', '±1.5', '±1.8', '±1.2', '±1.6', '±0.4', '±1.3', '±5.7', '±6.5', '±9.6', '±8.6', '±10041', '±71063', '', '(X)', '(X)', '(X)']
10004 Families Estimate,['1062', '1.5%', '0.0%', '0.2%', '1.6%', '0.1%', '0.9%', '2.3%', '7.0%', '9.8%', '76.6%', '247237', '412109', '', '(X)', '50.5%', '(X)']
10004 Families Margin of Error,['±276', '±1.9', '±3.5', '±0.3', '±2.7', '±0.4', '±1.3', '±2.2', '±6.5', '±7.8', '±9.4', '±19655', '±129100', '', '(X)', '(X)', '(X)']
10004 Married-couple families Estimate,['1035', '1.5%', '0.0%', '0.2%', '1.6%', '0.1%', '1.0%', '1.6%', '7.1%', '8.9%', '77.9%', '247607', 'N', '', '(X)', '(X)', '(X)']
10004 Married-couple families Margin of Error,['±273', '±2.0', '±3.6', '±0.3', '±2.7', '±0.4', '±1.3', '±2.1', '±6.7', '±7.9', '±9.5', '±18651', 'N', '', '(X)', '(X)', '(X)']
10004 Nonfamily households Estimate,['1051', '2.9%', '0.0%', '1.5%', '1.6%', '0.7%', '3.1%', '10.6%', '19.9%', '21.0%', '38.7%', '159518', '218597', '', '(X)', '(X)', '25.7%']
10004 Nonfamily households Margin of Error,['±270', '±2.4', '±3.5', '±2.4', '±1.7', '±0.7', '±2.2', '±11.0', '±11.2', '±17.5', '±13.0', '±16520', '±78738', '', '(X)', '(X)', '(X)']
10005 Households Estimate,['4782', '0.9%', '0.0%', '0.1%', '1.4%', '2.1%', '9.2%', '6.1%', '15.2%', '16.4%', '48.5%', '197188', '225528', '', '22.8%', '(X)', '(X)']
10005 Households Margin of Error,['±520', '±1.0', '±0.8', '±0.2', '±2.2', '±2.2', '±4.4', '±3.8', '±5.6', '±5.7', '±7.4', '±17558', '±20055', '', '(X)', '(X)', '(X)']
10005 Families Estimate,['1311', '0.0%', '0.0%', '0.0%', '0.0%', '0.0%', '2.7%', '9.0%', '10.1%', '11.0%', '67.1%', '250000+', '298091', '', '(X)', '25.8%', '(X)']
10005 Families Margin of Error,['±338', '±2.8', '±2.8', '±2.8', '±2.8', '±2.8', '±4.3', '±6.9', '±6.5', '±7.1', '±11.1', '***', '±50351', '', '(X)', '(X)', '(X)']
10005 Married-couple families Estimate,['1146', '0.0%', '0.0%', '0.0%', '0.0%', '0.0%', '3.1%', '6.3%', '11.6%', '12.6%', '66.4%', '250000+', 'N', '', '(X)', '(X)', '(X)']
10005 Married-couple families Margin of Error,['±287', '±3.2', '±3.2', '±3.2', '±3.2', '±3.2', '±4.8', '±5.5', '±7.7', '±8.0', '±10.7', '***', 'N', '', '(X)', '(X)', '(X)']
10005 Nonfamily households Estimate,['3471', '1.3%', '0.0%', '0.2%', '2.0%', '2.9%', '11.7%', '5.0%', '17.2%', '18.4%', '41.4%', '185125', '198121', '', '(X)', '(X)', '21.7%']
10005 Nonfamily households Margin of Error,['±529', '±1.4', '±1.1', '±0.3', '±3.0', '±3.0', '±5.7', '±4.5', '±7.1', '±7.5', '±9.1', '±27684', '±22229', '', '(X)', '(X)', '(X)']
10006 Households Estimate,['1991', '2.0%', '0.4%', '0.7%', '2.6%', '7.4%', '3.6%', '2.0%', '13.6%', '17.3%', '50.5%', '200536', '222594', '', '19.3%', '(X)', '(X)']
10006 Households Margin of Error,['±262', '±1.8', '±0.7', '±1.0', '±2.9', '±6.0', '±3.2', '±2.0', '±7.3', '±6.7', '±10.5', '±24685', '±27122', '', '(X)', '(X)', '(X)']
10006 Families Estimate,['854', '1.6%', '0.0%', '0.0%', '0.0%', '0.0%', '0.0%', '1.9%', '12.2%', '10.4%', '73.9%', '218986', '272242', '', '(X)', '25.5%', '(X)']
10006 Families Margin of Error,['±263', '±2.6', '±4.3', '±4.3', '±4.3', '±4.3', '±4.3', '±3.2', '±9.8', '±8.7', '±13.9', '±58229', '±44080', '', '(X)', '(X)', '(X)']
10006 Married-couple families Estimate,['665', '0.0%', '0.0%', '0.0%', '0.0%', '0.0%', '0.0%', '2.4%', '6.5%', '13.4%', '77.7%', '250000+', 'N', '', '(X)', '(X)', '(X)']
10006 Married-couple families Margin of Error,['±248', '±5.5', '±5.5', '±5.5', '±5.5', '±5.5', '±5.5', '±4.1', '±7.6', '±10.7', '±14.0', '***', 'N', '', '(X)', '(X)', '(X)']
10006 Nonfamily households Estimate,['1137', '2.2%', '0.7%', '1.1%', '4.5%', '12.9%', '6.3%', '2.0%', '14.7%', '22.5%', '33.0%', '165901', '185303', '', '(X)', '(X)', '14.7%']
10006 Nonfamily households Margin of Error,['±200', '±2.6', '±1.1', '±1.8', '±5.2', '±9.9', '±5.4', '±2.6', '±9.8', '±10.2', '±12.0', '±47171', '±33487', '', '(X)', '(X)', '(X)']
10007 Households Estimate,['3246', '2.9%', '1.6%', '0.0%', '2.2%', '1.4%', '1.9%', '4.4%', '7.0%', '17.1%', '61.4%', '250000+', '444574', '', '33.5%', '(X)', '(X)']
10007 Households Margin of Error,['±517', '±2.1', '±1.9', '±1.1', '±2.4', '±1.3', '±2.3', '±3.7', '±4.7', '±7.9', '±9.4', '***', '±104649', '', '(X)', '(X)', '(X)']
10007 Families Estimate,['1789', '1.1%', '0.0%', '0.0%', '0.0%', '0.0%', '3.1%', '2.7%', '9.1%', '5.1%', '78.9%', '250000+', '586053', '', '(X)', '34.4%', '(X)']
10007 Families Margin of Error,['±469', '±1.4', '±2.1', '±2.1', '±2.1', '±2.1', '±3.9', '±4.5', '±8.0', '±5.7', '±10.2', '***', '±162635', '', '(X)', '(X)', '(X)']
10007 Married-couple families Estimate,['1685', '1.1%', '0.0%', '0.0%', '0.0%', '0.0%', '3.3%', '2.9%', '6.4%', '4.5%', '81.9%', '250000+', 'N', '', '(X)', '(X)', '(X)']
